site_id,startDateTime,VSWC,SOILT
ABBY,2020-03-01T00:00:00Z,0.318625,3.6632000000000002
ABBY,2020-03-02T00:00:00Z,0.300025,4.3704
ABBY,2020-03-03T00:00:00Z,0.32563333333333333,4.3424
ABBY,2020-03-04T00:00:00Z,0.3152666666666667,7.1156
ABBY,2020-03-05T00:00:00Z,0.2994,6.8884
ABBY,2020-03-06T00:00:00Z,0.3134,7.0942
ABBY,2020-03-07T00:00:00Z,0.313425,6.0408
ABBY,2020-03-08T00:00:00Z,0.3177,5.1772
ABBY,2020-03-09T00:00:00Z,0.28726666666666667,5.3998
ABBY,2020-03-10T00:00:00Z,0.3057666666666667,5.7806
ABBY,2020-03-11T00:00:00Z,0.28775,6.4874
ABBY,2020-03-12T00:00:00Z,0.29009999999999997,6.2298
ABBY,2020-03-13T00:00:00Z,0.2975,5.9918000000000005
ABBY,2020-03-14T00:00:00Z,0.301475,3.5482
ABBY,2020-03-15T00:00:00Z,0.3088666666666667,2.666
ABBY,2020-03-16T00:00:00Z,0.301025,3.124
ABBY,2020-03-17T00:00:00Z,0.30543333333333333,6.1158
ABBY,2020-03-18T00:00:00Z,0.274,6.5428
ABBY,2020-03-19T00:00:00Z,0.288125,6.8546
ABBY,2020-03-20T00:00:00Z,0.27463333333333334,7.9158
ABBY,2020-03-21T00:00:00Z,0.2864333333333333,8.695599999999999
ABBY,2020-03-22T00:00:00Z,0.27013333333333334,7.598
ABBY,2020-03-23T00:00:00Z,0.2807,8.2562
ABBY,2020-03-24T00:00:00Z,0.30433333333333334,6.0836
ABBY,2020-03-25T00:00:00Z,0.31072500000000003,5.6224
ABBY,2020-03-26T00:00:00Z,0.31035,4.9798
ABBY,2020-03-27T00:00:00Z,0.29922499999999996,5.1458
ABBY,2020-03-28T00:00:00Z,0.3098666666666667,5.4692
ABBY,2020-03-29T00:00:00Z,0.2849,6.6006
ABBY,2020-03-30T00:00:00Z,0.316625,7.4761999999999995
ABBY,2020-03-31T00:00:00Z,0.31072500000000003,6.1112
BARR,2020-03-01T00:00:00Z,NA,-15.960749999999999
BARR,2020-03-02T00:00:00Z,NA,-16.55875
BARR,2020-03-03T00:00:00Z,NA,-17.790499999999998
BARR,2020-03-04T00:00:00Z,NA,-18.0625
BARR,2020-03-05T00:00:00Z,NA,-18.571
BARR,2020-03-06T00:00:00Z,NA,-18.49475
BARR,2020-03-07T00:00:00Z,NA,-17.927
BARR,2020-03-08T00:00:00Z,NA,-16.738
BARR,2020-03-09T00:00:00Z,NA,-16.39975
BARR,2020-03-12T00:00:00Z,NA,-18.442
BARR,2020-03-13T00:00:00Z,NA,-18.2255
BARR,2020-03-14T00:00:00Z,NA,-15.20875
BARR,2020-03-15T00:00:00Z,NA,-13.4965
BARR,2020-03-16T00:00:00Z,NA,-14.5085
BARR,2020-03-17T00:00:00Z,NA,-13.88775
BARR,2020-03-18T00:00:00Z,NA,-13.49325
BARR,2020-03-19T00:00:00Z,NA,-12.943750000000001
BARR,2020-03-20T00:00:00Z,NA,-12.141
BARR,2020-03-21T00:00:00Z,NA,-11.401
BARR,2020-03-22T00:00:00Z,NA,-11.828
BARR,2020-03-23T00:00:00Z,NA,-12.7545
BARR,2020-03-24T00:00:00Z,NA,-13.37025
BARR,2020-03-25T00:00:00Z,NA,-13.0225
BARR,2020-03-26T00:00:00Z,NA,-13.1295
BARR,2020-03-27T00:00:00Z,NA,-13.80075
BARR,2020-03-28T00:00:00Z,NA,-14.853499999999999
BARR,2020-03-29T00:00:00Z,NA,-15.544749999999999
BARR,2020-03-30T00:00:00Z,NA,-15.778
BARR,2020-03-31T00:00:00Z,NA,-15.44525
BART,2020-03-01T00:00:00Z,0.1802,1.1944000000000001
BART,2020-03-02T00:00:00Z,0.1965,1.0618
BART,2020-03-03T00:00:00Z,0.1943,0.9434
BART,2020-03-04T00:00:00Z,0.1956,1.116
