site_id,startDateTime,VSWC,SOILT
BLAN,2024-03-24T00:00:00Z,0.25096666666666667,5.7516
BLAN,2024-03-25T00:00:00Z,0.2371,6.2947999999999995
BLAN,2024-03-26T00:00:00Z,0.23143333333333332,8.1356
BLAN,2024-03-27T00:00:00Z,0.22492499999999999,9.1036
BLAN,2024-03-28T00:00:00Z,0.2266,9.592
BLAN,2024-03-29T00:00:00Z,0.22736666666666666,9.42
BLAN,2024-03-30T00:00:00Z,0.22056666666666666,9.6706
BLAN,2024-03-31T00:00:00Z,0.21966666666666668,10.4022
BONA,2024-03-01T00:00:00Z,NA,-15.2114
BONA,2024-03-02T00:00:00Z,NA,-16.0058
BONA,2024-03-03T00:00:00Z,NA,-16.1158
BONA,2024-03-04T00:00:00Z,NA,-14.0604
BONA,2024-03-05T00:00:00Z,NA,-11.2976
BONA,2024-03-06T00:00:00Z,NA,-9.1654
BONA,2024-03-07T00:00:00Z,NA,-8.6008
BONA,2024-03-08T00:00:00Z,NA,-7.7194
BONA,2024-03-09T00:00:00Z,NA,-8.1986
BONA,2024-03-10T00:00:00Z,NA,-7.8756
BONA,2024-03-11T00:00:00Z,NA,-8.614
BONA,2024-03-12T00:00:00Z,NA,-8.992799999999999
BONA,2024-03-13T00:00:00Z,NA,-10.6722
BONA,2024-03-14T00:00:00Z,NA,-11.1482
BONA,2024-03-15T00:00:00Z,NA,-9.4632
BONA,2024-03-16T00:00:00Z,NA,-9.895199999999999
BONA,2024-03-17T00:00:00Z,NA,-9.6826
BONA,2024-03-18T00:00:00Z,NA,-8.284
BONA,2024-03-19T00:00:00Z,NA,-7.3877999999999995
BONA,2024-03-20T00:00:00Z,NA,-7.7932
BONA,2024-03-21T00:00:00Z,NA,-6.8404
BONA,2024-03-22T00:00:00Z,NA,-6.136
BONA,2024-03-23T00:00:00Z,NA,-4.608
BONA,2024-03-24T00:00:00Z,NA,-3.1454
BONA,2024-03-25T00:00:00Z,NA,-2.4004
BONA,2024-03-26T00:00:00Z,NA,-1.9048
BONA,2024-03-27T00:00:00Z,NA,-1.722
BONA,2024-03-28T00:00:00Z,NA,-1.5708
BONA,2024-03-29T00:00:00Z,NA,-1.3206
BONA,2024-03-30T00:00:00Z,NA,-1.772
BONA,2024-03-31T00:00:00Z,NA,-1.3046
CLBJ,2024-03-01T00:00:00Z,0.16285,8.94775
CLBJ,2024-03-02T00:00:00Z,0.193,13.04425
CLBJ,2024-03-03T00:00:00Z,0.1739,15.6225
CLBJ,2024-03-04T00:00:00Z,0.1959,17.21925
CLBJ,2024-03-05T00:00:00Z,0.19596666666666665,18.20325
CLBJ,2024-03-06T00:00:00Z,0.17046666666666668,17.3855
CLBJ,2024-03-07T00:00:00Z,0.18545,17.35225
CLBJ,2024-03-08T00:00:00Z,0.1896,14.778
CLBJ,2024-03-09T00:00:00Z,0.1631,12.946
CLBJ,2024-03-10T00:00:00Z,0.1617,13.36675
CLBJ,2024-03-11T00:00:00Z,0.1616,13.90325
CLBJ,2024-03-12T00:00:00Z,0.1662,15.1355
CLBJ,2024-03-13T00:00:00Z,0.16663333333333333,17.19675
CLBJ,2024-03-14T00:00:00Z,0.16604999999999998,18.9395
CLBJ,2024-03-15T00:00:00Z,0.1686,19.69825
CLBJ,2024-03-16T00:00:00Z,0.18473333333333333,15.853250000000001
CLBJ,2024-03-17T00:00:00Z,0.166125,14.591000000000001
CLBJ,2024-03-18T00:00:00Z,0.159975,15.243
CLBJ,2024-03-19T00:00:00Z,0.17264000000000002,14.641
CLBJ,2024-03-20T00:00:00Z,0.1874,15.35525
CLBJ,2024-03-21T00:00:00Z,0.1727,16.774
CLBJ,2024-03-22T00:00:00Z,0.17436,15.175
CLBJ,2024-03-23T00:00:00Z,0.182975,16.875
CLBJ,2024-03-24T00:00:00Z,0.15325,15.67025
CLBJ,2024-03-25T00:00:00Z,0.2414,15.60175
CLBJ,2024-03-26T00:00:00Z,0.20090000000000002,15.773249999999999
CLBJ,2024-03-27T00:00:00Z,0.17036,14.333
CLBJ,2024-03-28T00:00:00Z,0.19276666666666667,14.673
CLBJ,2024-03-29T00:00:00Z,0.172425,16.49875
CLBJ,2024-03-30T00:00:00Z,0.19343333333333332,17.58775
CLBJ,2024-03-31T00:00:00Z,0.19513333333333333,18.419
CPER,2024-03-01T00:00:00Z,0.13673333333333335,9.6748
CPER,2024-03-02T00:00:00Z,0.13285,10.568
CPER,2024-03-03T00:00:00Z,0.13085,10.6574
CPER,2024-03-04T00:00:00Z,0.12882,6.3234
CPER,2024-03-05T00:00:00Z,0.1178,6.2056
CPER,2024-03-06T00:00:00Z,0.11055,6.6612
CPER,2024-03-07T00:00:00Z,0.12304999999999999,10.048
CPER,2024-03-08T00:00:00Z,0.1072,4.0178
CPER,2024-03-09T00:00:00Z,0.133,5.526
CPER,2024-03-10T00:00:00Z,0.13622499999999998,9.1018
CPER,2024-03-11T00:00:00Z,0.13215,11.8366
CPER,2024-03-12T00:00:00Z,0.12962,8.6544
CPER,2024-03-13T00:00:00Z,0.11866666666666667,10.8004
CPER,2024-03-14T00:00:00Z,0.123,6.51
CPER,2024-03-15T00:00:00Z,0.16852499999999998,3.4542
CPER,2024-03-16T00:00:00Z,0.165825,5.9036
CPER,2024-03-17T00:00:00Z,0.16290000000000002,10.1544
CPER,2024-03-18T00:00:00Z,0.15435,6.6348
CPER,2024-03-19T00:00:00Z,0.16086666666666666,13.1524
CPER,2024-03-20T00:00:00Z,0.1558,14.102
CPER,2024-03-21T00:00:00Z,0.1519,13.564400000000001
