site_id,startDateTime,SOILT,VSWC
BLAN,2024-02-10T00:00:00Z,6.5578,0.1945666666666667
BLAN,2024-02-11T00:00:00Z,8.2334,0.2177
BLAN,2024-02-12T00:00:00Z,6.9338,0.21283333333333332
BLAN,2024-02-13T00:00:00Z,6.9474,0.2613
BLAN,2024-02-14T00:00:00Z,4.7908,0.26515
BLAN,2024-02-15T00:00:00Z,3.1744,0.241775
BLAN,2024-02-16T00:00:00Z,5.447,0.25206666666666666
BLAN,2024-02-17T00:00:00Z,4.26,0.24856666666666669
BLAN,2024-02-18T00:00:00Z,1.356,0.22446666666666668
BLAN,2024-02-19T00:00:00Z,1.8108,0.229875
BLAN,2024-02-20T00:00:00Z,2.0744,0.2269
BLAN,2024-02-21T00:00:00Z,2.6214,0.23053333333333337
BLAN,2024-02-22T00:00:00Z,3.1554,0.20226666666666668
BLAN,2024-02-23T00:00:00Z,3.425,0.24798
BLAN,2024-02-24T00:00:00Z,4.871,0.2311
BLAN,2024-02-25T00:00:00Z,3.5574,0.233
BLAN,2024-02-26T00:00:00Z,3.4992,0.22616666666666663
BLAN,2024-02-27T00:00:00Z,7.2528,0.19275
BLAN,2024-02-28T00:00:00Z,7.9656,0.22553333333333336
BLAN,2024-02-29T00:00:00Z,8.6066,0.251325
BONA,2024-02-01T00:00:00Z,-17.8032,NA
BONA,2024-02-02T00:00:00Z,-20.906,NA
BONA,2024-02-03T00:00:00Z,-22.4672,NA
BONA,2024-02-04T00:00:00Z,-22.5154,NA
BONA,2024-02-05T00:00:00Z,-19.2622,NA
BONA,2024-02-06T00:00:00Z,-15.8436,NA
BONA,2024-02-07T00:00:00Z,-13.6414,NA
BONA,2024-02-08T00:00:00Z,-12.0254,NA
BONA,2024-02-09T00:00:00Z,-12.0086,NA
BONA,2024-02-10T00:00:00Z,-10.4952,NA
BONA,2024-02-11T00:00:00Z,-9.0212,NA
BONA,2024-02-12T00:00:00Z,-8.0796,NA
BONA,2024-02-13T00:00:00Z,-8.7494,NA
BONA,2024-02-14T00:00:00Z,-7.168200000000001,NA
BONA,2024-02-15T00:00:00Z,-6.1348,NA
BONA,2024-02-16T00:00:00Z,-6.0774,NA
BONA,2024-02-17T00:00:00Z,-6.8238,NA
BONA,2024-02-18T00:00:00Z,-8.001,NA
BONA,2024-02-19T00:00:00Z,-7.8912,NA
BONA,2024-02-20T00:00:00Z,-6.8046,NA
BONA,2024-02-21T00:00:00Z,-5.6716,NA
BONA,2024-02-22T00:00:00Z,-4.4084,NA
BONA,2024-02-23T00:00:00Z,-4.6904,NA
BONA,2024-02-24T00:00:00Z,-5.1808,NA
BONA,2024-02-25T00:00:00Z,-5.7504,NA
BONA,2024-02-26T00:00:00Z,-6.576,NA
BONA,2024-02-27T00:00:00Z,-9.761,NA
BONA,2024-02-28T00:00:00Z,-11.9228,NA
BONA,2024-02-29T00:00:00Z,-13.7708,NA
CLBJ,2024-02-01T00:00:00Z,11.7155,0.1919
CLBJ,2024-02-02T00:00:00Z,13.01,0.1776
CLBJ,2024-02-03T00:00:00Z,12.4385,0.1788
CLBJ,2024-02-04T00:00:00Z,12.245,0.18685
CLBJ,2024-02-05T00:00:00Z,11.55175,0.18465
CLBJ,2024-02-06T00:00:00Z,11.769,0.1826
CLBJ,2024-02-07T00:00:00Z,11.999,0.1656
CLBJ,2024-02-08T00:00:00Z,12.12725,0.20155
CLBJ,2024-02-09T00:00:00Z,12.6415,0.19793333333333332
CLBJ,2024-02-10T00:00:00Z,12.94925,0.17559999999999998
CLBJ,2024-02-11T00:00:00Z,11.9955,0.19586666666666663
CLBJ,2024-02-12T00:00:00Z,8.92775,0.2107
