site_id,datetime,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
ABBY,2024-06-01T00:00:00Z,96688.2060546875,284.0583190917969,0.22875001095235348,0,0,0
BARR,2024-06-01T00:00:00Z,101272.4072265625,NA,NA,0,0,0.08999999612569809
BART,2024-06-01T00:00:00Z,95742.40625,285.2520751953125,0.25862501934170723,0,0,0
BLAN,2024-06-01T00:00:00Z,99700.4052734375,288.54457092285156,0.2550000175833702,0,0,0
BONA,2024-06-01T00:00:00Z,96104.60546875,285.1708221435547,0.24225001223385334,0,0,0
CLBJ,2024-06-01T00:00:00Z,98038.40625,295.59707260131836,0.3217500075697899,0,0,0
CPER,2024-06-01T00:00:00Z,82991.8056640625,291.0433235168457,0.1550000049173832,0,0,0
DCFS,2024-06-01T00:00:00Z,95394.60546875,287.20581817626953,0.23250001296401024,0,0,0
DEJU,2024-06-01T00:00:00Z,93933.4052734375,284.56207275390625,0.23850001022219658,0,0,0
DELA,2024-06-01T00:00:00Z,101014.806640625,294.98957443237305,0.28062501177191734,0,0,0
DSNY,2024-06-01T00:00:00Z,101536.4052734375,302.41957092285156,0.02912499918602407,0,0,0
GRSM,2024-06-01T00:00:00Z,91967.4052734375,287.61956787109375,0.28425002098083496,0,0,0
GUAN,2024-06-01T00:00:00Z,100371.2041015625,301.0070686340332,0.21712501347064972,0,0,0
HARV,2024-06-01T00:00:00Z,98705.60546875,286.81957626342773,0.2821250185370445,0,0,0
HEAL,2024-06-01T00:00:00Z,92590.8046875,283.1433219909668,0.20537501201033592,0,0,0
JERC,2024-06-01T00:00:00Z,101292.60546875,296.88457107543945,0.15012500807642937,0,0,0
JORN,2024-06-01T00:00:00Z,85856.005859375,301.4408264160156,0.06599999964237213,0,0,0
KONA,2024-06-01T00:00:00Z,96878.60546875,290.3270683288574,0.3230000175535679,0,0,0
KONZ,2024-06-01T00:00:00Z,96878.60546875,290.3270683288574,0.3230000175535679,0,0,0
LAJA,2024-06-01T00:00:00Z,100371.2041015625,301.0070686340332,0.21712501347064972,0,0,0
LENO,2024-06-01T00:00:00Z,100874.60546875,295.5658187866211,0.2805000152438879,0,0,0
MLBS,2024-06-01T00:00:00Z,94176.0048828125,286.50832748413086,0.2658750154078007,0,0,0
MOAB,2024-06-01T00:00:00Z,79619.4052734375,292.98207092285156,0.1146250031888485,0,0,0
NIWO,2024-06-01T00:00:00Z,74044.40625,279.30207443237305,0.2651250120252371,0,0,0
NOGP,2024-06-01T00:00:00Z,94581.404296875,287.10207748413086,0.2166250105947256,0,0,0
OAES,2024-06-01T00:00:00Z,95331.8056640625,298.75456619262695,0.10687500517815351,0,0,0
ONAQ,2024-06-01T00:00:00Z,81884.6064453125,293.8470687866211,0.14175000600516796,0,0,0
ORNL,2024-06-01T00:00:00Z,97413.205078125,290.1420707702637,0.29512500762939453,0,0,0
OSBS,2024-06-01T00:00:00Z,101640.6044921875,299.8433265686035,0.07687500678002834,0,0,0
PUUM,2024-06-01T00:00:00Z,81028.607421875,294.7633171081543,0.20912500843405724,0,0,0
RMNP,2024-06-01T00:00:00Z,74485.8046875,281.81957244873047,0.20275001041591167,0,0,0
SCBI,2024-06-01T00:00:00Z,99700.4052734375,288.54457092285156,0.2550000175833702,0,0,0
SERC,2024-06-01T00:00:00Z,102047.4052734375,NA,NA,NA,NA,0
SJER,2024-06-01T00:00:00Z,93948.4052734375,295.7008247375488,0.07537500374019146,0,0,0
SOAP,2024-06-01T00:00:00Z,93948.4052734375,295.7008247375488,0.07537500374019146,0,0,0
SRER,2024-06-01T00:00:00Z,89725.8056640625,304.5833206176758,0.0838750060647726,0,0,0
STEI,2024-06-01T00:00:00Z,96034.8046875,287.7683219909668,0.25837501510977745,0,0,0
STER,2024-06-01T00:00:00Z,86992.2060546875,291.60082244873047,0.15650000981986523,0,0,0
TALL,2024-06-01T00:00:00Z,100627.4052734375,294.42707443237305,0.3006250113248825,0,0,0
TEAK,2024-06-01T00:00:00Z,80153.0048828125,287.0108222961426,0.1602500081062317,0,0,0
TOOL,2024-06-01T00:00:00Z,88891.4052734375,278.9170722961426,0.23900001123547554,0,0,0
TREE,2024-06-01T00:00:00Z,96034.8046875,287.7683219909668,0.25837501510977745,0,0,0
UKFS,2024-06-01T00:00:00Z,97969.6064453125,290.557071685791,0.28437501564621925,0,0,0
UNDE,2024-06-01T00:00:00Z,95630.40625,287.2720756530762,0.2560000140219927,0,0,0
WOOD,2024-06-01T00:00:00Z,95394.60546875,287.20581817626953,0.23250001296401024,0,0,0
WREF,2024-06-01T00:00:00Z,92265.404296875,284.61706924438477,0.2643750123679638,0,0,0
YELL,2024-06-01T00:00:00Z,76010.6064453125,277.8545722961426,0.2977500148117542,0,0,0
ABBY,2024-06-02T00:00:00Z,96350.09765625,284.7483253479004,0.2480000089854002,0,0,0
BARR,2024-06-02T00:00:00Z,100957.4990234375,NA,NA,0,0,0.08999999612569809
BART,2024-06-02T00:00:00Z,95594.0966796875,286.59083557128906,0.25175001099705696,0,0,0
BLAN,2024-06-02T00:00:00Z,99253.498046875,289.4908332824707,0.2537500113248825,0,0,0
BONA,2024-06-02T00:00:00Z,95510.69921875,286.382080078125,0.22475000843405724,0,0,0
CLBJ,2024-06-02T00:00:00Z,97946.2978515625,296.1433334350586,0.27687500789761543,0,0,0
CPER,2024-06-02T00:00:00Z,82597.0986328125,292.8270835876465,0.12950000818818808,0,0,0
DCFS,2024-06-02T00:00:00Z,94852.69921875,287.59583282470703,0.23725001327693462,0,0,0
DEJU,2024-06-02T00:00:00Z,93418.6982421875,284.99832916259766,0.23437501303851604,0,0,0
DELA,2024-06-02T00:00:00Z,100943.498046875,295.10708236694336,0.26825001090765,0,0,0
DSNY,2024-06-02T00:00:00Z,101390.298828125,301.0395812988281,0.044375001918524504,0,0,0
GRSM,2024-06-02T00:00:00Z,91639.8984375,287.8708267211914,0.2811250165104866,0,0,0
GUAN,2024-06-02T00:00:00Z,100269.498046875,301.47583389282227,0.20150000974535942,0,0,0
HARV,2024-06-02T00:00:00Z,98522.4990234375,288.3745803833008,0.2691250182688236,0,0,0
HEAL,2024-06-02T00:00:00Z,92045.8994140625,283.60708236694336,0.21275001391768456,0,0,0
JERC,2024-06-02T00:00:00Z,101055.8984375,295.44708251953125,0.17862500809133053,0,0,0
JORN,2024-06-02T00:00:00Z,85819.298828125,300.9508285522461,0.06587500032037497,0,0,0
KONA,2024-06-02T00:00:00Z,96644.69921875,292.16457748413086,0.30262501537799835,0,0,0
KONZ,2024-06-02T00:00:00Z,96644.69921875,292.16457748413086,0.30262501537799835,0,0,0
LAJA,2024-06-02T00:00:00Z,100269.498046875,301.47583389282227,0.20150000974535942,0,0,0
LENO,2024-06-02T00:00:00Z,100821.498046875,295.73957443237305,0.2758750170469284,0,0,0
MLBS,2024-06-02T00:00:00Z,93812.298828125,287.504581451416,0.2748750150203705,0,0,0
MOAB,2024-06-02T00:00:00Z,79393.2978515625,294.2445869445801,0.11075000744313002,0,0,0
NIWO,2024-06-02T00:00:00Z,73745.6982421875,280.17833709716797,0.25987501442432404,0,0,0
