site_id,datetime,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
ABBY,2022-12-01T00:00:00Z,95297.6044921875,275.26559829711914,0.2905000150203705,9.5,0.05499999783933163,0
BARR,2022-12-01T00:00:00Z,101602.0048828125,NA,NA,12,0.03999999910593033,0.2862499952316284
BART,2022-12-01T00:00:00Z,94541.2041015625,273.85809326171875,0.3658750168979168,0.125,0,0
BLAN,2022-12-01T00:00:00Z,99768.6044921875,278.29559326171875,0.24250001274049282,0,0,0
BONA,2022-12-01T00:00:00Z,97618.205078125,261.71810150146484,0.39400002360343933,28.125,0.29749999567866325,0
CLBJ,2022-12-01T00:00:00Z,99389.60546875,279.49935150146484,0.24787501245737076,0,0,0
CPER,2022-12-01T00:00:00Z,82443.603515625,270.49184799194336,0.09937500301748514,7.5,0.07249999837949872,0
DCFS,2022-12-01T00:00:00Z,95322.8037109375,265.6030921936035,0.15525000542402267,5,0.04999999701976776,0
DEJU,2022-12-01T00:00:00Z,95296.6044921875,263.5655937194824,0.3296250179409981,33.125,0.3399999924004078,0
DELA,2022-12-01T00:00:00Z,102328.8056640625,284.2518501281738,0.2705000154674053,0,0,0
DSNY,2022-12-01T00:00:00Z,101840.0029296875,295.1255989074707,0.13575000688433647,0,0,0
GRSM,2022-12-01T00:00:00Z,92213.005859375,279.0405960083008,0.32225001230835915,0,0,0
GUAN,2022-12-01T00:00:00Z,100234.6044921875,296.22559356689453,0.24337500892579556,0,0,0
HARV,2022-12-01T00:00:00Z,98003.0048828125,276.40059661865234,0.319250013679266,0,0,0
HEAL,2022-12-01T00:00:00Z,93834.4052734375,265.0593452453613,0.3985000252723694,30.125,0.3137499950826168,0
JERC,2022-12-01T00:00:00Z,101932.8046875,288.4118537902832,0.18762500770390034,0,0,0
JORN,2022-12-01T00:00:00Z,86347.203125,282.2918472290039,0.1188750034198165,0,0,0
KONA,2022-12-01T00:00:00Z,97775.205078125,273.88059997558594,0.23037500865757465,0,0,0
KONZ,2022-12-01T00:00:00Z,97775.205078125,273.88059997558594,0.23037500865757465,0,0,0
LAJA,2022-12-01T00:00:00Z,100234.6044921875,296.22559356689453,0.24337500892579556,0,0,0
LENO,2022-12-01T00:00:00Z,102126.6044921875,285.4555969238281,0.2580000087618828,0,0,0
MLBS,2022-12-01T00:00:00Z,94227.4033203125,278.05810546875,0.2905000150203705,0,0,0
MOAB,2022-12-01T00:00:00Z,79375.404296875,272.45684814453125,0.22050001099705696,1,0.00874999980442226,0
NIWO,2022-12-01T00:00:00Z,73188.203125,269.6343460083008,0.43400001525878906,17.75,0.1587500013411045,0
NOGP,2022-12-01T00:00:00Z,94239.005859375,266.6068534851074,0.14600001275539398,6,0.05999999865889549,0
OAES,2022-12-01T00:00:00Z,96435.8037109375,276.8543510437012,0.20862500928342342,0,0,0
ONAQ,2022-12-01T00:00:00Z,81374.8037109375,272.09184646606445,0.26462501287460327,1.875,0.016249999636784196,0
ORNL,2022-12-01T00:00:00Z,98214.00390625,279.50184631347656,0.3225000202655792,0,0,0
OSBS,2022-12-01T00:00:00Z,102028.8046875,292.951847076416,0.13325000368058681,0,0,0
PUUM,2022-12-01T00:00:00Z,80782.4052734375,290.64185333251953,0.29475000873208046,0,0,0
RMNP,2022-12-01T00:00:00Z,73628.60546875,268.82184982299805,0.3838750161230564,17.5,0.15749999787658453,0
SCBI,2022-12-01T00:00:00Z,99768.6044921875,278.29559326171875,0.24250001274049282,0,0,0
SERC,2022-12-01T00:00:00Z,102159.404296875,NA,NA,NA,NA,0
SJER,2022-12-01T00:00:00Z,94142.00390625,280.9868469238281,0.12250000424683094,0,0,0
SOAP,2022-12-01T00:00:00Z,94142.00390625,280.9868469238281,0.12250000424683094,0,0,0
SRER,2022-12-01T00:00:00Z,90040.205078125,287.1231002807617,0.1061250064522028,0,0,0
STEI,2022-12-01T00:00:00Z,96394.60546875,267.0030975341797,0.43162501603364944,3,0.029999999329447746,0
STER,2022-12-01T00:00:00Z,86645.4052734375,270.78809356689453,0.09775000344961882,1.875,0.01749999960884452,0
TALL,2022-12-01T00:00:00Z,101855.4052734375,283.85060119628906,0.2890000082552433,0,0,0
TEAK,2022-12-01T00:00:00Z,79648.8056640625,275.6506004333496,0.18687501177191734,8.75,0.06624999828636646,0
TOOL,2022-12-01T00:00:00Z,89186.205078125,262.9706001281738,0.41200003027915955,38.75,0.4099999852478504,0
TREE,2022-12-01T00:00:00Z,96394.60546875,267.0030975341797,0.43162501603364944,3,0.029999999329447746,0
UKFS,2022-12-01T00:00:00Z,99175.60546875,274.545597076416,0.2141250092536211,0,0,0
UNDE,2022-12-01T00:00:00Z,95921.2041015625,270.50809478759766,0.1510000079870224,11.75,0.1187499975785613,0
WOOD,2022-12-01T00:00:00Z,95322.8037109375,265.6030921936035,0.15525000542402267,5,0.04999999701976776,0
WREF,2022-12-01T00:00:00Z,90772.8046875,275.3531036376953,0.29475001245737076,43.375,0.3062499910593033,0
YELL,2022-12-01T00:00:00Z,74704.4052734375,271.2143440246582,0.35325001180171967,36,0.36374999582767487,0
ABBY,2022-12-02T00:00:00Z,96558.51171875,274.7762870788574,0.2786250188946724,13.375,0.1074999962002039,0
BARR,2022-12-02T00:00:00Z,100595.712890625,NA,NA,NA,NA,0
BART,2022-12-02T00:00:00Z,96356.11328125,273.52002716064453,0.3603750132024288,0,0,0
BLAN,2022-12-02T00:00:00Z,100508.11328125,276.10253524780273,0.21250001341104507,0,0,0
BONA,2022-12-02T00:00:00Z,98502.9130859375,261.90128326416016,0.39400002360343933,30.375,0.3062499836087227,0
CLBJ,2022-12-02T00:00:00Z,98481.712890625,283.1875305175781,0.23412501253187656,0,0,0
CPER,2022-12-02T00:00:00Z,81958.3115234375,272.2037811279297,0.11962500587105751,4.625,0.03624999918974936,0
DCFS,2022-12-02T00:00:00Z,94349.7119140625,267.21003341674805,0.15737500600516796,5.25,0.05499999783933163,0
DEJU,2022-12-02T00:00:00Z,96226.111328125,264.1850280761719,0.33000001311302185,36,0.35999998450279236,0
DELA,2022-12-02T00:00:00Z,102086.111328125,282.3212890625,0.24412500858306885,0,0,0
DSNY,2022-12-02T00:00:00Z,102136.9111328125,293.57627868652344,0.1326250024139881,0,0,0
GRSM,2022-12-02T00:00:00Z,92350.5126953125,276.9275321960449,0.3046250157058239,0,0,0
GUAN,2022-12-02T00:00:00Z,100273.5126953125,296.22253036499023,0.24962500669062138,0,0,0
HARV,2022-12-02T00:00:00Z,99664.7119140625,275.92752838134766,0.29600001126527786,0,0,0
HEAL,2022-12-02T00:00:00Z,94659.912109375,265.4837837219238,0.39900001883506775,31,0.3100000023841858,0
JERC,2022-12-02T00:00:00Z,102086.7119140625,286.2425346374512,0.1686250064522028,0,0,0
JORN,2022-12-02T00:00:00Z,86259.1123046875,283.5650329589844,0.11175000481307507,0,0,0
KONA,2022-12-02T00:00:00Z,96297.3125,277.87753677368164,0.23075000941753387,0,0,0
KONZ,2022-12-02T00:00:00Z,96297.3125,277.87753677368164,0.23075000941753387,0,0,0
LAJA,2022-12-02T00:00:00Z,100273.5126953125,296.22253036499023,0.24962500669062138,0,0,0
LENO,2022-12-02T00:00:00Z,101932.11328125,283.0525321960449,0.25075000897049904,0,0,0
MLBS,2022-12-02T00:00:00Z,94629.513671875,275.9962844848633,0.2901250161230564,0,0,0
MOAB,2022-12-02T00:00:00Z,79152.1123046875,273.52628326416016,0.22412500716745853,1,0.007499999832361937,0
NIWO,2022-12-02T00:00:00Z,72813.513671875,270.5862808227539,0.43400001525878906,13.75,0.13249999657273293,0
NOGP,2022-12-02T00:00:00Z,93712.7138671875,267.4187774658203,0.14600001275539398,6.25,0.06499999854713678,0
OAES,2022-12-02T00:00:00Z,95334.9130859375,279.8825340270996,0.18837500922381878,0,0,0
ONAQ,2022-12-02T00:00:00Z,81481.7109375,273.31753158569336,0.25962501019239426,3.25,0.023749999469146132,0
ORNL,2022-12-02T00:00:00Z,98056.5126953125,277.3150329589844,0.31025001034140587,0,0,0
OSBS,2022-12-02T00:00:00Z,102299.111328125,291.49378204345703,0.12950000911951065,0,0,0
PUUM,2022-12-02T00:00:00Z,80726.5126953125,289.9625358581543,0.2836250104010105,0,0,0
RMNP,2022-12-02T00:00:00Z,73225.3125,270.3762855529785,0.3815000131726265,13.75,0.12999999709427357,0
SCBI,2022-12-02T00:00:00Z,100508.11328125,276.10253524780273,0.21250001341104507,0,0,0
SERC,2022-12-02T00:00:00Z,103086.7119140625,NA,NA,NA,NA,0
SJER,2022-12-02T00:00:00Z,94403.3125,280.2537841796875,0.25637500919401646,1.75,0.009999999776482582,0
SOAP,2022-12-02T00:00:00Z,94403.3125,280.2537841796875,0.25637500919401646,1.75,0.009999999776482582,0
SRER,2022-12-02T00:00:00Z,90189.3125,287.7387809753418,0.10462500341236591,0,0,0
STEI,2022-12-02T00:00:00Z,95292.1123046875,270.2350311279297,0.4320000112056732,2,0.019999999552965164,0
