site_id,startDateTime,flux,flux_err,n,n_tot
MOAB,2020-06-21T00:00:00Z,0.5546577070349075,0.03692796114455729,8,40
MOAB,2020-06-22T00:00:00Z,0.5656041353553205,0.03990389699978642,8,40
MOAB,2020-06-23T00:00:00Z,0.5798434693922968,0.03814633541277754,8,40
MOAB,2020-06-24T00:00:00Z,0.5668906876239248,0.0303591202204196,8,40
MOAB,2020-06-25T00:00:00Z,0.5423628019490077,0.036113046050047455,8,40
MOAB,2020-06-26T00:00:00Z,0.5230036741106905,0.028686182319860587,8,40
MOAB,2020-06-27T00:00:00Z,0.5271632816369674,0.03505660763455465,8,40
MOAB,2020-06-28T00:00:00Z,0.46958635855002523,0.026160615008327552,8,40
MOAB,2020-06-29T00:00:00Z,0.3882483414125432,0.029655475178790726,8,40
MOAB,2020-06-30T00:00:00Z,0.38474284799525016,0.032134216842746366,8,40
NOGP,2020-06-01T00:00:00Z,2.0857864652486233,0.15286196476770217,40,40
NOGP,2020-06-02T00:00:00Z,2.4617024679528505,0.15809671439019424,40,40
NOGP,2020-06-03T00:00:00Z,2.500137229977508,0.15869141761949546,40,40
NOGP,2020-06-04T00:00:00Z,2.254571248022186,0.15530526794335991,40,40
NOGP,2020-06-05T00:00:00Z,2.2095006602741756,0.16032208308525076,40,40
NOGP,2020-06-06T00:00:00Z,2.4100658923860023,0.16564427975555304,40,40
NOGP,2020-06-07T00:00:00Z,1.7978997522098834,0.15045323758274193,40,40
NOGP,2020-06-08T00:00:00Z,2.550977092624177,0.14844318731721595,40,40
NOGP,2020-06-09T00:00:00Z,2.9249787464350048,0.09335723984947758,40,40
NOGP,2020-06-10T00:00:00Z,2.567476996298029,0.0806551732794345,40,40
NOGP,2020-06-11T00:00:00Z,2.462818686205637,0.07783121991601774,40,40
NOGP,2020-06-12T00:00:00Z,2.8295296454391594,0.07540255148584113,40,40
NOGP,2020-06-13T00:00:00Z,2.901329662174738,0.08620452345152524,40,40
NOGP,2020-06-14T00:00:00Z,2.601278341292628,0.06888220809182108,40,40
NOGP,2020-06-15T00:00:00Z,2.1894851372886013,0.05947094053703704,40,40
NOGP,2020-06-16T00:00:00Z,2.622175041793478,0.06737707051536398,40,40
