site_id,startDateTime,flux,flux_err,n,n_tot
ABBY,2024-04-01T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-02T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-03T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-04T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-05T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-06T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-07T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-08T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-09T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-10T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-11T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-12T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-13T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-14T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-15T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-16T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-17T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-18T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-19T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-20T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-21T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-22T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-23T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-24T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-25T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-26T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-27T00:00:00Z,11.019107656017706,1.936751668325167,8,40
ABBY,2024-04-28T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-29T00:00:00Z,NA,NA,0,NA
ABBY,2024-04-30T00:00:00Z,NA,NA,0,NA
BART,2024-04-01T00:00:00Z,-1.6121658602482558,0.3612519389520082,8,40
BART,2024-04-02T00:00:00Z,-1.1608745803273783,0.2427891551390881,8,40
BART,2024-04-03T00:00:00Z,-0.802940427755903,0.22871543708511316,8,40
BART,2024-04-04T00:00:00Z,-0.9382380168683863,0.14163673850922284,8,40
BART,2024-04-05T00:00:00Z,-0.8222098823353217,1.3122102499338106,8,40
BART,2024-04-06T00:00:00Z,-0.48063408468995883,0.4161518103446425,8,40
BART,2024-04-07T00:00:00Z,-0.6371402028897919,0.4654225091719633,8,40
BART,2024-04-08T00:00:00Z,-1.0434684530199494,0.47795003181837287,8,40
BART,2024-04-09T00:00:00Z,-1.1750882247394996,0.34262711332284956,8,40
BART,2024-04-10T00:00:00Z,-0.7473341406956343,0.2619262494475771,8,40
BART,2024-04-11T00:00:00Z,-0.6942159457240865,0.22390379553762857,8,40
BART,2024-04-12T00:00:00Z,-0.911236950286702,0.2616160174836249,8,40
BART,2024-04-13T00:00:00Z,-0.3840603693714205,0.15659960863362582,8,40
BART,2024-04-14T00:00:00Z,-0.9478342924651789,0.23907434510687742,8,40
BART,2024-04-15T00:00:00Z,-1.1051834224628436,0.2787307535404657,8,40
BART,2024-04-16T00:00:00Z,-1.1617082145358504,0.2604784094464828,8,40
BART,2024-04-17T00:00:00Z,-0.7089565088897957,0.19457921509806322,8,40
BART,2024-04-18T00:00:00Z,-0.7246679684440699,0.23104121478711998,8,40
BART,2024-04-19T00:00:00Z,-0.794394110750152,0.22912273310684764,8,40
BART,2024-04-20T00:00:00Z,-0.46827234868609174,0.1345888077136419,8,40
BART,2024-04-21T00:00:00Z,-0.6992051377797015,0.24021668963303808,8,40
BART,2024-04-22T00:00:00Z,-0.8131216737598705,0.25009847236000665,8,40
BART,2024-04-23T00:00:00Z,-1.0094532261257092,0.18552654464125845,8,40
BART,2024-04-24T00:00:00Z,-0.5492906804183428,0.10193837950501136,8,40
BART,2024-04-25T00:00:00Z,-0.9547073231567029,0.1450245500884431,8,40
BART,2024-04-26T00:00:00Z,-0.8287311613180715,0.1598295666194119,8,40
BART,2024-04-27T00:00:00Z,-0.34597466712813346,0.15658842418692998,8,40
BART,2024-04-28T00:00:00Z,-0.29561595974041954,0.15371320162849592,8,40
BART,2024-04-29T00:00:00Z,-0.3766439113478548,0.2232225316336588,8,40
BART,2024-04-30T00:00:00Z,-0.8861566802409532,0.3749169239923881,8,40
BLAN,2024-04-01T00:00:00Z,4.385140973237103,2.277379566296829,32,40
BLAN,2024-04-02T00:00:00Z,4.267363082741793,0.8617183486445303,24,40
BLAN,2024-04-03T00:00:00Z,3.3106088637318423,0.5448024067936735,32,40
BLAN,2024-04-04T00:00:00Z,4.430972812003262,0.7124378858568806,32,40
BLAN,2024-04-05T00:00:00Z,5.113136476534916,0.9474778734961187,24,40
BLAN,2024-04-06T00:00:00Z,5.012533008475294,1.0392133567931074,24,40
BLAN,2024-04-07T00:00:00Z,4.177398215200854,0.6625169826541469,32,40
BLAN,2024-04-08T00:00:00Z,4.911827927658155,1.6898008525464598,24,40
BLAN,2024-04-09T00:00:00Z,4.697573808404085,0.9606156356577671,24,40
BLAN,2024-04-10T00:00:00Z,5.2879511317283905,1.129224920375397,24,40
BLAN,2024-04-11T00:00:00Z,4.728044268009774,0.9033083970301743,32,40
BLAN,2024-04-12T00:00:00Z,5.8987411919649375,1.3079108931585612,24,40
BLAN,2024-04-13T00:00:00Z,4.76202979358576,0.8609040839882666,40,40
BLAN,2024-04-14T00:00:00Z,5.205859887508886,0.9232364894282037,32,40
BLAN,2024-04-15T00:00:00Z,5.621981515363363,1.0921549029700923,24,40
BLAN,2024-04-16T00:00:00Z,5.537422679289177,0.8681315967665578,32,40
BLAN,2024-04-17T00:00:00Z,6.290799166188404,1.1528863895828994,24,40
BLAN,2024-04-18T00:00:00Z,6.559132368915447,1.1758885358444418,24,40
BLAN,2024-04-19T00:00:00Z,5.942062172639246,0.8236388764131707,32,40
BLAN,2024-04-20T00:00:00Z,6.383517425577829,1.0207659384062033,24,40
BLAN,2024-04-21T00:00:00Z,5.697911181373188,0.845150979658573,32,40
BLAN,2024-04-22T00:00:00Z,5.5016951710175315,0.8697797881263476,16,40
BLAN,2024-04-23T00:00:00Z,5.371715534304781,0.924607545459924,24,40
BLAN,2024-04-24T00:00:00Z,6.587553417520559,1.6099584835712413,24,40
BLAN,2024-04-25T00:00:00Z,6.035873850799321,1.3068658145336105,32,40
BLAN,2024-04-26T00:00:00Z,4.108390690022905,0.5488101221713109,32,40
BLAN,2024-04-27T00:00:00Z,4.536704908968722,0.6316206133099931,24,40
BLAN,2024-04-28T00:00:00Z,5.351545969348306,1.066976474460509,32,40
BLAN,2024-04-29T00:00:00Z,6.541048586849055,1.5308817947879547,24,40
BLAN,2024-04-30T00:00:00Z,7.5876296252080575,1.669981820935319,24,40
CLBJ,2024-04-01T00:00:00Z,1.7291925528094079,0.4730387610230514,32,40
CLBJ,2024-04-02T00:00:00Z,1.4390795320574459,0.47591529152114626,24,40
CLBJ,2024-04-03T00:00:00Z,1.6989211403859124,0.32703223991974434,32,40
CLBJ,2024-04-04T00:00:00Z,1.427882003521204,0.3837905435439493,32,40
CLBJ,2024-04-05T00:00:00Z,1.4888643403795192,0.3449884863119267,32,40
CLBJ,2024-04-06T00:00:00Z,1.6161650089556372,0.4479126289161042,32,40
CLBJ,2024-04-07T00:00:00Z,1.5209978388796528,0.2494480635210137,32,40
CLBJ,2024-04-08T00:00:00Z,1.5828837137420098,0.27032884081532904,24,40
CLBJ,2024-04-09T00:00:00Z,1.4529241106280304,0.4773323860612453,24,40
CLBJ,2024-04-10T00:00:00Z,1.8780137197169973,0.5451544897679654,32,40
CLBJ,2024-04-11T00:00:00Z,1.828278743190297,0.5941591836024593,24,40
CLBJ,2024-04-12T00:00:00Z,1.5973571826601247,0.3252661083542588,24,40
CLBJ,2024-04-13T00:00:00Z,1.7072187015299325,0.6066491869183737,24,40
CLBJ,2024-04-14T00:00:00Z,1.7893202450370165,0.6140925304685014,24,40
CLBJ,2024-04-15T00:00:00Z,1.9526335130439212,0.45161347780474537,32,40
CLBJ,2024-04-16T00:00:00Z,1.9509423334746538,0.45565546213259517,32,40
CLBJ,2024-04-17T00:00:00Z,1.8034411606044063,0.2723339209386552,24,40
CLBJ,2024-04-18T00:00:00Z,1.8414770456413116,0.6772408340118433,24,40
CLBJ,2024-04-19T00:00:00Z,1.960363667099465,0.7049925619057337,24,40
CLBJ,2024-04-20T00:00:00Z,1.726811465034327,0.5731092002792025,24,40
CLBJ,2024-04-21T00:00:00Z,1.7306493827444243,0.5819657210197547,24,40
CLBJ,2024-04-22T00:00:00Z,1.8037356096127495,0.5216450137890399,32,40
CLBJ,2024-04-23T00:00:00Z,1.9592636410874917,0.5116759131963287,32,40
CLBJ,2024-04-24T00:00:00Z,1.8461280787115026,0.5704395052957996,32,40
CLBJ,2024-04-25T00:00:00Z,2.029046213039328,0.5810340357591587,32,40
CLBJ,2024-04-26T00:00:00Z,2.3253868971063403,0.6272177842962274,32,40
CLBJ,2024-04-27T00:00:00Z,2.4559219837732895,0.6838987526887992,32,40
CLBJ,2024-04-28T00:00:00Z,2.3676727283208057,0.6769160629917208,32,40
CLBJ,2024-04-29T00:00:00Z,2.2538577597030356,0.8073924042117274,32,40
CLBJ,2024-04-30T00:00:00Z,2.9523740970156673,1.0024502095491081,32,40
CPER,2024-04-01T00:00:00Z,0.23854879885057229,0.036283531521868195,40,40
CPER,2024-04-02T00:00:00Z,0.2007126700602616,0.02781404235718133,40,40
CPER,2024-04-03T00:00:00Z,0.2521482957959621,0.04944114146523084,32,40
CPER,2024-04-04T00:00:00Z,0.2850231981789086,0.048459826907046546,32,40
CPER,2024-04-05T00:00:00Z,0.30792085687888343,0.05465535037078266,32,40
CPER,2024-04-06T00:00:00Z,0.3267834652305559,0.05225818966047446,32,40
CPER,2024-04-07T00:00:00Z,0.33971259579997803,0.057548541416054116,32,40
CPER,2024-04-08T00:00:00Z,0.3663916621538257,0.052135129087440966,32,40
CPER,2024-04-09T00:00:00Z,0.33817810352040983,0.05461807719416813,32,40
CPER,2024-04-10T00:00:00Z,0.3401450410966279,0.06341840849166745,32,40
CPER,2024-04-11T00:00:00Z,0.27691303543737433,0.0492558537851997,32,40
