date,site,forecast,horizon,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
2025-06-07,ABBY,gec00,f000,96887.9296875,287.1920166015625,0.20200000703334808,0,0,0
2025-06-07,BARR,gec00,f000,101879.9296875,NA,NA,10,0.029999999329447746,1.25
2025-06-07,BART,gec00,f000,94940.7265625,288.5920104980469,0.2930000126361847,0,0,0
2025-06-07,BLAN,gec00,f000,98467.125,292.7920227050781,0.2720000147819519,0,0,0
2025-06-07,BONA,gec00,f000,97057.5234375,280.2920227050781,0.23500001430511475,0,0,0
2025-06-07,CLBJ,gec00,f000,97838.328125,297.6920166015625,0.2510000169277191,0,0,0
2025-06-07,CPER,gec00,f000,83052.7265625,284.5920104980469,0.22800001502037048,0,0,0
2025-06-07,DCFS,gec00,f000,94935.9296875,286.5920104980469,0.15600000321865082,0,0,0
2025-06-07,DEJU,gec00,f000,94903.9296875,280.39202880859375,0.25699999928474426,0,0,0
2025-06-07,DELA,gec00,f000,100836.7265625,296.89202880859375,0.24400001764297485,0,0,0
2025-06-07,DSNY,gec00,f000,101345.5234375,299.0920104980469,0.1420000046491623,0,0,0
2025-06-07,GRSM,gec00,f000,91220.7265625,290.6920166015625,0.29200002551078796,0,0,0
2025-06-07,GUAN,gec00,f000,100547.125,297.9920349121094,0.19200000166893005,0,0,0
2025-06-07,HARV,gec00,f000,97795.125,290.5920104980469,0.30800002813339233,0,0,0
2025-06-07,HEAL,gec00,f000,93428.7265625,278.0920104980469,0.2630000114440918,0,0,0
2025-06-07,JERC,gec00,f000,100849.5234375,298.39202880859375,0.1290000081062317,0,0,0
2025-06-07,JORN,gec00,f000,86057.5234375,298.39202880859375,0.08700000494718552,0,0,0
2025-06-07,KONA,gec00,f000,96431.9296875,291.0920104980469,0.33900001645088196,0,0,0
2025-06-07,KONZ,gec00,f000,96431.9296875,291.0920104980469,0.33900001645088196,0,0,0
2025-06-07,LAJA,gec00,f000,100547.125,297.9920349121094,0.19200000166893005,0,0,0
2025-06-07,LENO,gec00,f000,100739.125,297.39202880859375,0.2370000183582306,0,0,0
2025-06-07,MLBS,gec00,f000,93148.7265625,290.6920166015625,0.27000001072883606,0,0,0
2025-06-07,MOAB,gec00,f000,79937.5234375,288.39202880859375,0.15600000321865082,0,0,0
2025-06-07,NIWO,gec00,f000,74140.7265625,279.0920104980469,0.2880000174045563,1,0,0
2025-06-07,NOGP,gec00,f000,93996.7265625,286.4920349121094,0.203000009059906,0,0,0
2025-06-07,OAES,gec00,f000,95433.5234375,295.39202880859375,0.32200002670288086,0,0,0
2025-06-07,ONAQ,gec00,f000,82243.125,290.7920227050781,0.1210000067949295,0,0,0
2025-06-07,ORNL,gec00,f000,96622.328125,293.0920104980469,0.32200002670288086,0,0,0
2025-06-07,OSBS,gec00,f000,101287.9296875,298.9920349121094,0.0990000069141388,0,0,0
2025-06-07,PUUM,gec00,f000,80743.9296875,290.5920104980469,0.14300000667572021,0,0,0
2025-06-07,RMNP,gec00,f000,74564.7265625,279.4920349121094,0.26500001549720764,1,0.009999999776482582,0
2025-06-07,SCBI,gec00,f000,98467.125,292.7920227050781,0.2720000147819519,0,0,0
2025-06-07,SERC,gec00,f000,100703.9296875,NA,NA,NA,NA,0
2025-06-07,SJER,gec00,f000,94140.7265625,295.0920104980469,0.05400000140070915,0,0,0
2025-06-07,SOAP,gec00,f000,94140.7265625,295.0920104980469,0.05400000140070915,0,0,0
2025-06-07,SRER,gec00,f000,89967.9296875,298.5920104980469,0.15000000596046448,0,0,0
2025-06-07,STEI,gec00,f000,95950.328125,285.6920166015625,0.23600001633167267,0,0,0
2025-06-07,STER,gec00,f000,87023.9296875,285.9920349121094,0.21000000834465027,0,0,0
2025-06-07,TALL,gec00,f000,100358.328125,296.4920349121094,0.27400001883506775,0,0,0
2025-06-07,TEAK,gec00,f000,80390.328125,286.7920227050781,0.13500000536441803,0,0,0
2025-06-07,TOOL,gec00,f000,89254.328125,266.89202880859375,0.3290000259876251,27,0.25999999046325684,0
2025-06-07,TREE,gec00,f000,95950.328125,285.6920166015625,0.23600001633167267,0,0,0
2025-06-07,UKFS,gec00,f000,97609.5234375,291.5920104980469,0.28700000047683716,0,0,0
2025-06-07,UNDE,gec00,f000,95555.125,285.1920166015625,0.22600001096725464,0,0,0
2025-06-07,WOOD,gec00,f000,94935.9296875,286.5920104980469,0.15600000321865082,0,0,0
2025-06-07,WREF,gec00,f000,92495.9296875,287.7920227050781,0.2290000170469284,0,0,0
2025-06-07,YELL,gec00,f000,76203.125,280.4920349121094,0.24500000476837158,0,0,0
2025-06-07,ABBY,gec00,f024,96837.3671875,0.19700001180171967,0,0,0,13.661248779296898
2025-06-07,BARR,gec00,f024,101363.7734375,NA,4,0.009999999776482582,1.25,-4.738745117187477
2025-06-07,BART,gec00,f024,95062.96875,0.2970000207424164,0,0,0,15.161248779296898
2025-06-07,BLAN,gec00,f024,98210.171875,0.2770000100135803,0,0,0,16.661248779296898
2025-06-07,BONA,gec00,f024,95790.96875,0.22800001502037048,0,0,0,6.161248779296898
2025-06-07,CLBJ,gec00,f024,97782.96875,0.30900001525878906,0,0,0,22.761254882812523
2025-06-07,CPER,gec00,f024,83429.3671875,0.19500000774860382,0,0,0,9.561273193359398
2025-06-07,DCFS,gec00,f024,94605.3671875,0.1680000126361847,0,0,0,12.061273193359398
2025-06-07,DEJU,gec00,f024,93702.96875,0.23900000751018524,0,0,0,4.761254882812523
2025-06-07,DELA,gec00,f024,100571.7734375,0.2630000114440918,0,0,0,23.561273193359398
