date,site,forecast,horizon,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
2025-06-06,ABBY,gec00,f000,96784.3671875,285.7380065917969,0.20000000298023224,0,0,0
2025-06-06,BARR,gec00,f000,101579.5625,NA,NA,17,0.04999999701976776,1.25
2025-06-06,BART,gec00,f000,95448.3671875,289.8380126953125,0.2639999985694885,0,0,0
2025-06-06,BLAN,gec00,f000,98944.3671875,292.2380065917969,0.2670000195503235,0,0,0
2025-06-06,BONA,gec00,f000,97070.765625,280.1380310058594,0.2460000067949295,0,0,0
2025-06-06,CLBJ,gec00,f000,97993.9609375,296.03802490234375,0.2639999985694885,0,0,0
2025-06-06,CPER,gec00,f000,83336.3671875,285.03802490234375,0.22700001299381256,0,0,0
2025-06-06,DCFS,gec00,f000,95875.5625,284.53802490234375,0.1850000023841858,0,0,0
2025-06-06,DEJU,gec00,f000,95017.9609375,279.9380187988281,0.2290000170469284,1,0,0
2025-06-06,DELA,gec00,f000,101041.9609375,296.2380065917969,0.2639999985694885,0,0,0
2025-06-06,DSNY,gec00,f000,101478.765625,298.7380065917969,0.13900001347064972,0,0,0
2025-06-06,GRSM,gec00,f000,91633.9609375,289.8380126953125,0.2970000207424164,0,0,0
2025-06-06,GUAN,gec00,f000,100577.9609375,298.3380126953125,0.18700000643730164,0,0,0
2025-06-06,HARV,gec00,f000,98323.5625,291.6380310058594,0.27400001883506775,0,0,0
2025-06-06,HEAL,gec00,f000,93629.1640625,277.4380187988281,0.2710000276565552,0,0,0
2025-06-06,JERC,gec00,f000,101064.3671875,297.53802490234375,0.15000000596046448,0,0,0
2025-06-06,JORN,gec00,f000,86045.1640625,296.8380126953125,0.09200000762939453,0,0,0
2025-06-06,KONA,gec00,f000,96811.5625,290.1380310058594,0.2930000126361847,0,0,0
2025-06-06,KONZ,gec00,f000,96811.5625,290.1380310058594,0.2930000126361847,0,0,0
2025-06-06,LAJA,gec00,f000,100577.9609375,298.3380126953125,0.18700000643730164,0,0,0
2025-06-06,LENO,gec00,f000,100928.3671875,296.4380187988281,0.2540000081062317,0,0,0
2025-06-06,MLBS,gec00,f000,93629.1640625,290.03802490234375,0.26500001549720764,0,0,0
2025-06-06,MOAB,gec00,f000,79814.765625,288.03802490234375,0.18400001525878906,0,0,0
2025-06-06,NIWO,gec00,f000,74113.9609375,279.4380187988281,0.2750000059604645,0,0,0
2025-06-06,NOGP,gec00,f000,95030.765625,284.8380126953125,0.2240000069141388,0,0,0
2025-06-06,OAES,gec00,f000,95361.9609375,295.1380310058594,0.2540000081062317,0,0,0
2025-06-06,ONAQ,gec00,f000,82128.3671875,289.7380065917969,0.11700000613927841,0,0,0
2025-06-06,ORNL,gec00,f000,97072.3671875,292.9380187988281,0.29200002551078796,0,0,0
2025-06-06,OSBS,gec00,f000,101470.765625,298.1380310058594,0.1290000081062317,0,0,0
2025-06-06,PUUM,gec00,f000,80800.3671875,290.4380187988281,0.13700000941753387,0,0,0
2025-06-06,RMNP,gec00,f000,74582.765625,280.6380310058594,0.27900001406669617,1,0,0
2025-06-06,SCBI,gec00,f000,98944.3671875,292.2380065917969,0.2670000195503235,0,0,0
2025-06-06,SERC,gec00,f000,101254.765625,NA,NA,NA,NA,0
